x,y,temperature
0.36,0.04,20
0.38,0.04,20
0.4,0.04,20
0.42,0.04,20
0.44,0.04,20
0.46,0.04,20
0.48,0.04,20
0.5,0.04,20
0.52,0.04,20
0.54,0.04,20
0.56,0.04,20
0.58,0.04,20
0.6,0.04,20
0.62,0.04,20
0.64,0.04,20
0.66,0.04,20
0.68,0.04,20
0.7,0.04,20
0.72,0.04,20
0.74,0.04,20
0.76,0.04,20
0.78,0.04,20
0.8,0.04,20
0.82,0.04,20
0.84,0.04,20
0.86,0.04,20
0.88,0.04,20
0.9,0.04,20
0.92,0.04,20
0.94,0.04,20
0.96,0.04,20
0.98,0.04,20
1,0.04,20
0,0.06,20
0.02,0.06,20
0.04,0.06,20
0.06,0.06,20
0.08,0.06,20
0.1,0.06,20
0.12,0.06,20
0.14,0.06,20
0.16,0.06,20
0.18,0.06,20
0.2,0.06,20
0.22,0.06,20
0.24,0.06,20
0.26,0.06,20
0.28,0.06,20
0.3,0.06,20
0.32,0.06,20
0.34,0.06,20
0.36,0.06,20
0.38,0.06,20
0.4,0.06,20
0.42,0.06,20
0.44,0.06,20
0.46,0.06,20
0.48,0.06,20
0.5,0.06,20
0.52,0.06,20
0.54,0.06,20
0.56,0.06,20
0.58,0.06,20
0.6,0.06,20
0.62,0.06,20
0.64,0.06,20
0.66,0.06,20
0.68,0.06,20
0.7,0.06,20
0.72,0.06,20
0.74,0.06,20
0.76,0.06,20
0.78,0.06,20
0.8,0.06,20
0.82,0.06,20
0.84,0.06,20
0.86,0.06,20
0.88,0.06,20
0.9,0.06,20
0.92,0.06,20
0.94,0.06,20
0.96,0.06,20
0.98,0.06,20
1,0.06,20
0,0.08,20
0.02,0.08,20
0.04,0.08,20
0.06,0.08,20
0.08,0.08,20
0.1,0.08,20
0.12,0.08,20
0.14,0.08,20
0.16,0.08,20
0.18,0.08,20
0.2,0.08,20
0.22,0.08,20
0.24,0.08,20
0.26,0.08,20
0.28,0.08,20
0.3,0.08,20
0.32,0.08,20
0.34,0.08,20
0.36,0.08,20
0.38,0.08,20
0.4,0.08,20
0.42,0.08,20.0001
0.44,0.08,20.0001
0.46,0.08,20.0001
0.48,0.08,20.0001
0.5,0.08,20.0001
0.52,0.08,20.0001
0.54,0.08,20.0001
0.56,0.08,20.0001
0.58,0.08,20.0001
0.6,0.08,20
0.62,0.08,20
0.64,0.08,20
0.66,0.08,20
0.68,0.08,20
0.7,0.08,20
0.72,0.08,20
0.74,0.08,20
0.76,0.08,20
0.78,0.08,20
0.8,0.08,20
0.82,0.08,20
0.84,0.08,20
0.86,0.08,20
